Start sensors
Try /dev/ttyACM0 
Open /dev/ttyACM0 
Try /dev/ttyACM0 
Open /dev/ttyACM0 
Print values
Sensor 0: 0.00
Sensor 1: 0.00
Sensor 2: 0.00
Sensor 3: 0.00
Sensor 0: 0.00
Sensor 1: 0.00
Sensor 2: 0.00
Sensor 3: 0.00
Sensor 0: 328.03
Sensor 1: 0.00
Sensor 2: 0.00
Sensor 3: 0.00
Sensor 0: -6.36
Sensor 1: 3.49
Sensor 2: -3.45
Sensor 3: 6.72
Sensor 0: -7.35
Sensor 1: 4.00
Sensor 2: -3.76
Sensor 3: 4.97
Sensor 0: -6.33
Sensor 1: 2.56
Sensor 2: -3.51
Sensor 3: 2.99
Sensor 0: -4.39
Sensor 1: 0.56
Sensor 2: -3.07
Sensor 3: 2.20
Sensor 0: -2.95
Sensor 1: -0.56
Sensor 2: -2.55
Sensor 3: 1.99
Sensor 0: -2.42
Sensor 1: -0.96
Sensor 2: -2.29
Sensor 3: 1.94
Sensor 0: -2.39
Sensor 1: -0.86
Sensor 2: -2.21
Sensor 3: 0.99
Sensor 0: -1.74
Sensor 1: -1.59
Sensor 2: -2.16
Sensor 3: 0.43
Sensor 0: -0.94
Sensor 1: -2.30
Sensor 2: -1.84
Sensor 3: 0.45
Sensor 0: -0.67
Sensor 1: -2.42
Sensor 2: -1.72
Sensor 3: 0.34
Sensor 0: -0.87
Sensor 1: -2.30
Sensor 2: -1.72
Sensor 3: -0.11
Sensor 0: -0.53
Sensor 1: -2.72
Sensor 2: -1.64
Sensor 3: -0.22
Sensor 0: -0.22
Sensor 1: -3.05
Sensor 2: -1.49
Sensor 3: -0.14
Sensor 0: -0.30
Sensor 1: -2.97
Sensor 2: -1.49
Sensor 3: -0.11
Sensor 0: -0.31
Sensor 1: -2.89
Sensor 2: -1.53
Sensor 3: 0.31
Sensor 0: -0.62
Sensor 1: -2.61
Sensor 2: -1.56
Sensor 3: -0.11
Sensor 0: -0.53
Sensor 1: -2.72
Sensor 2: -1.68
Sensor 3: -0.11
Sensor 0: -0.53
Sensor 1: -2.72
Sensor 2: -1.56
Sensor 3: 1.92
Sensor 0: -2.49
Sensor 1: -0.63
Sensor 2: -2.25
Sensor 3: 3.43
Sensor 0: -3.71
Sensor 1: 0.21
Sensor 2: -1.68
Sensor 3: 5.07
Sensor 0: -4.93
Sensor 1: 1.99
Sensor 2: -3.15
Sensor 3: 3.96
Sensor 0: -4.34
Sensor 1: 1.06
Sensor 2: -2.87
Sensor 3: 5.72
Sensor 0: -6.10
Sensor 1: 2.53
Sensor 2: -3.40
Sensor 3: 7.20
Sensor 0: -6.98
Sensor 1: 3.83
Sensor 2: -3.78
Sensor 3: 5.83
Sensor 0: -5.63
Sensor 1: 2.55
Sensor 2: -3.49
Sensor 3: 5.82
Sensor 0: -4.55
Sensor 1: 3.19
Sensor 2: -2.63
Sensor 3: 5.82
Sensor 0: -4.93
Sensor 1: 2.55
Sensor 2: -3.15
Sensor 3: 5.83
Sensor 0: -4.55
Sensor 1: 3.19
Sensor 2: -2.87
Sensor 3: 54.88
Sensor 0: -4.55
Sensor 1: 34.02
Sensor 2: 30.48
Sensor 3: 25.97
Sensor 0: 34.37
Sensor 1: 25.46
Sensor 2: 26.48
Sensor 3: 44.80
Sensor 0: 51.09
Sensor 1: 23.17
Sensor 2: 33.54
Sensor 3: 70.73
Sensor 0: 55.44
Sensor 1: 15.47
Sensor 2: 28.79
Sensor 3: 77.84
Sensor 0: 51.33
Sensor 1: 31.41
Sensor 2: 60.18
Sensor 3: 87.01
Sensor 0: 51.33
Sensor 1: 5.50
Sensor 2: 27.56
Sensor 3: 70.73
Sensor 0: 86.90
Sensor 1: 13.75
Sensor 2: 27.64
Sensor 3: 91.56
Sensor 0: 58.78
Sensor 1: 24.63
Sensor 2: 36.87
Sensor 3: 48.00
Sensor 0: 45.45
Sensor 1: 8.65
Sensor 2: 6.25
Sensor 3: 36.65
Sensor 0: 42.43
Sensor 1: 18.18
Sensor 2: 13.26
Sensor 3: 46.26
Sensor 0: 69.99
Sensor 1: 26.38
Sensor 2: 32.84
Sensor 3: 64.66
Sensor 0: 61.23
Sensor 1: 34.55
Sensor 2: 31.16
Sensor 3: 59.84
Sensor 0: 39.74
Sensor 1: 46.55
Sensor 2: 66.03
Sensor 3: 51.69
Sensor 0: 60.71
Sensor 1: 43.24
Sensor 2: 56.44
Sensor 3: 67.03
Sensor 0: 24.44
Sensor 1: 52.16
Sensor 2: 52.25
Sensor 3: 35.29
Sensor 0: 49.28
Sensor 1: 45.17
Sensor 2: 78.69
Sensor 3: 74.16
Sensor 0: 46.16
Sensor 1: 65.56
Sensor 2: 56.44
Sensor 3: 93.74
Sensor 0: 36.51
Sensor 1: 46.55
Sensor 2: 101.44
Sensor 3: 60.27
Sensor 0: 77.38
Sensor 1: 59.41
Sensor 2: 126.50
Sensor 3: 67.03
Sensor 0: 30.39
Sensor 1: 92.59
Sensor 2: 100.24
Sensor 3: 81.27
Sensor 0: 73.33
Sensor 1: 30.79
Sensor 2: 100.24
Sensor 3: 67.78
Sensor 0: 49.28
Sensor 1: 15.00
Sensor 2: 41.36
Sensor 3: 112.37
Sensor 0: 101.90
Sensor 1: 53.94
Sensor 2: 82.60
Sensor 3: 128.26
Sensor 0: 80.84
Sensor 1: 42.35
Sensor 2: 33.63
Sensor 3: 123.77
Sensor 0: 55.50
Sensor 1: 14.44
Sensor 2: 42.41
Sensor 3: 86.21
