sensor_0, sensor_1, sensor_2, sensor_3
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
328.03,0.00,0.00,0.00
-6.36,3.49,-3.45,6.72
-7.35,4.00,-3.76,4.97
-6.33,2.56,-3.51,2.99
-4.39,0.56,-3.07,2.20
-2.95,-0.56,-2.55,1.99
-2.42,-0.96,-2.29,1.94
-2.39,-0.86,-2.21,0.99
-1.74,-1.59,-2.16,0.43
-0.94,-2.30,-1.84,0.45
-0.67,-2.42,-1.72,0.34
-0.87,-2.30,-1.72,-0.11
-0.53,-2.72,-1.64,-0.22
-0.22,-3.05,-1.49,-0.14
-0.30,-2.97,-1.49,-0.11
-0.31,-2.89,-1.53,0.31
-0.62,-2.61,-1.56,-0.11
-0.53,-2.72,-1.68,-0.11
-0.53,-2.72,-1.56,1.92
-2.49,-0.63,-2.25,3.43
-3.71,0.21,-1.68,5.07
-4.93,1.99,-3.15,3.96
-4.34,1.06,-2.87,5.72
-6.10,2.53,-3.40,7.20
-6.98,3.83,-3.78,5.83
-5.63,2.55,-3.49,5.82
-4.55,3.19,-2.63,5.82
-4.93,2.55,-3.15,5.83
-4.55,3.19,-2.87,54.88
-4.55,34.02,30.48,25.97
34.37,25.46,26.48,44.80
51.09,23.17,33.54,70.73
55.44,15.47,28.79,77.84
51.33,31.41,60.18,87.01
51.33,5.50,27.56,70.73
86.90,13.75,27.64,91.56
58.78,24.63,36.87,48.00
45.45,8.65,6.25,36.65
42.43,18.18,13.26,46.26
69.99,26.38,32.84,64.66
61.23,34.55,31.16,59.84
39.74,46.55,66.03,51.69
60.71,43.24,56.44,67.03
24.44,52.16,52.25,35.29
49.28,45.17,78.69,74.16
46.16,65.56,56.44,93.74
36.51,46.55,101.44,60.27
77.38,59.41,126.50,67.03
30.39,92.59,100.24,81.27
73.33,30.79,100.24,67.78
49.28,15.00,41.36,112.37
101.90,53.94,82.60,128.26
80.84,42.35,33.63,123.77
55.50,14.44,42.41,86.21
44.83,18.27,21.68,38.13
100.82,20.95,78.46,109.02
69.27,48.14,61.11,105.30
72.52,10.04,8.55,78.59
39.62,39.09,19.41,54.47
24.27,18.83,40.40,37.43
42.15,25.10,22.67,41.69
16.90,13.18,49.82,70.91
44.98,20.97,5.93,14.09
68.00,20.97,26.03,45.88
7.76,4.55,32.26,2.79
-1.54,-1.45,-10.90,1.55
-5.06,2.28,-11.73,5.32
-5.64,2.81,-11.60,5.54
-8.87,5.74,-12.46,9.05
-9.82,7.74,-12.85,10.69
-8.34,6.04,-12.34,8.94
-11.21,7.54,-12.94,10.79
-8.87,6.04,-12.46,9.05
-17.32,15.24,-12.85,19.03
-14.79,13.00,-15.34,16.56
-13.15,11.06,-14.68,14.45
-9.57,8.60,-13.85,12.19
-5.69,4.33,-12.33,7.47
-13.15,11.06,-14.68,14.45
3.60,-2.94,-10.02,0.26
7.31,-8.67,-7.83,-6.29
7.76,-9.81,-7.13,-8.03
9.94,-10.78,-6.95,-8.58
14.38,-14.17,-5.86,-11.55
15.65,-17.96,-4.27,-16.13
10.03,-16.26,-4.26,-15.87
9.94,-10.39,-5.86,-6.84
9.94,-5.07,-4.27,-8.58
9.94,-10.78,-19.13,15.64
-17.87,-10.39,-4.26,18.03
-26.42,-5.07,3.50,29.57
-33.83,6.48,71.84,44.73
-32.52,18.35,827.96,39.49
-27.22,492.19,156.95,30.49
-26.42,70.87,-13.17,29.74
-26.42,18.56,-10.88,30.49
-26.42,28.66,4.54,39.49
421.50,29.26,8.51,340.97
109.80,20.09,2.71,130.82
3.97,2.68,1.18,18.20
4.11,-0.01,27.69,24.50
32.90,16.94,4.54,303.93
46.43,20.09,8.51,661.08
27.78,47.90,27.69,695.78
1.57,5.98,326.21,273.85
-2.94,-0.39,24.47,23.74
0.23,1.33,1.12,2.78
27.78,16.94,2.34,2.51
27.78,47.90,-10.59,-5.33
27.78,47.90,-29.09,-14.26
712.68,537.14,-29.75,-20.53
468.04,375.35,-26.24,-15.29
117.48,105.42,-8.42,-3.53
5.04,4.90,-2.71,2.93
-0.87,44.77,-10.59,13.53
4.92,319.48,-8.42,-3.53
12.61,564.95,-2.71,2.93
13.80,621.68,85.56,80.26
17.56,641.56,922.49,79.99
22.89,870.21,1273.85,106.53
10.05,813.37,1165.32,101.82
-1.16,289.62,398.35,41.74
-0.17,621.68,881.06,79.99
-0.48,1.75,4.70,4.73
8.23,2.78,5.07,10.92
16.31,-0.26,-1.36,31.15
4.44,-3.17,-7.93,12.22
1.16,1.48,-9.19,4.47
4.44,3.35,-6.78,28.86
8.23,-2.22,-1.36,12.22
16.31,-3.81,-1.36,28.86
195.89,-0.26,-1.36,31.15
1595.70,12.95,157.17,1939.72
1055.01,17.84,90.72,1850.78
244.52,3.96,16.03,210.23
4.65,0.28,-7.02,13.84
-4.57,4.82,-6.98,9.99
-2.82,6.20,14.29,11.62
18.97,6.20,16.03,27.36
41.82,6.20,16.03,52.03
55.64,6.20,16.03,80.92
66.94,69.62,302.42,27.36
77.69,1362.91,2088.60,52.03
58.59,1655.39,2017.04,200.41
55.64,1167.80,808.27,83.58
55.64,270.46,71.44,18.66
-6.10,16.39,9.31,12.73
120.45,4.14,13.83,36.83
58.59,-9.27,19.02,83.58
58.59,-7.55,34.97,83.58
120.45,-0.39,43.17,83.58
1276.19,4.16,43.03,1340.15
1264.35,10.67,48.01,1400.74
703.22,2.55,44.58,1242.43
1159.95,4.31,22.25,517.86
1159.95,11.47,43.03,1242.43
-13.64,11.27,43.17,1242.43
-20.02,5.44,44.58,636.33
-32.26,-0.93,48.01,1034.77
-32.56,4.08,174.06,1081.53
-21.06,5.44,1019.62,932.42
-16.92,23.09,1118.94,1015.44
-13.41,26.16,836.08,733.46
-10.99,17.70,1019.62,932.42
-10.03,11.23,1019.62,932.42
-12.29,12.50,-1.46,17.21
-13.30,16.17,-3.14,21.38
-12.29,17.70,-6.68,15.46
-10.99,17.70,-31.73,-20.51
-10.03,17.70,-57.16,-61.04
114.28,44.91,-6.68,15.46
1483.45,1136.15,-88.82,-122.83
1597.28,1424.78,-114.82,-145.28
776.97,1086.74,-100.58,-123.99
105.51,266.63,-37.32,-50.47
29.49,959.89,-4.58,-20.96
23.85,-21.92,0.09,-20.61
14.33,-12.06,-2.01,-11.08
11.50,-5.18,-4.58,-3.06
11.65,-3.35,-3.93,-0.90
12.58,-4.28,-3.29,-2.01
12.20,-4.48,-2.89,-1.59
11.58,-3.94,-2.67,-0.85
10.42,-3.15,-2.71,0.28
11.58,-3.94,-2.87,1.65
11.58,-3.35,-2.86,-0.85
8.24,-0.39,-2.67,2.64
8.14,0.17,-2.58,3.05
8.59,0.17,-2.67,2.55
9.20,-0.14,-2.67,2.07
8.72,-0.79,-2.58,1.08
9.85,-1.35,-1.06,0.85
8.19,0.31,-1.32,2.25
7.40,1.08,-1.67,3.66
6.42,2.14,-1.64,4.32
6.04,2.54,-1.85,2.25
6.78,1.77,-1.72,4.93
6.81,1.70,-1.33,4.35
6.38,2.27,-1.25,4.76
6.51,1.96,-1.32,4.88
5.81,2.41,-1.17,4.75
6.38,2.27,-1.36,4.88
6.38,2.27,-1.33,4.88
2.48,2.41,-1.33,4.88
2.42,5.91,-2.10,9.22
2.19,6.19,-2.15,9.51
1.95,6.54,-2.18,9.84
2.20,6.57,-2.05,9.49
2.31,6.34,-2.15,9.38
2.31,5.93,-2.10,8.91
2.31,6.19,-2.05,9.38
2.31,6.19,-1.93,9.38
4.15,4.26,-1.01,7.21
3.27,4.80,-1.11,8.06
2.75,5.80,-1.33,8.97
4.08,4.80,-1.17,8.06
4.11,4.80,-1.11,8.06
4.15,5.80,-1.01,8.97
7.60,7.43,29.93,46.46
50.52,70.49,942.20,787.21
45.96,73.54,832.53,693.90
21.76,59.99,689.28,547.71
43.67,29.08,283.49,217.98
43.67,59.99,730.15,671.94
0.43,7.49,-5.82,10.82
-0.53,7.92,-1.51,10.91
0.93,18.63,137.44,12.13
5.60,18.63,402.28,8.45
5.52,18.63,525.79,10.13
5.09,18.63,137.44,11.97
-0.11,564.88,694.31,10.91
-4.45,523.49,474.25,19.15
0.32,296.02,131.30,11.60
4.40,59.52,3.18,6.46
3.79,4.96,0.27,10.17
0.07,4.18,96.78,11.97
-0.46,11.93,327.89,17.38
2.23,17.26,519.44,19.15
1.53,21.62,131.30,106.71
5.06,27.66,918.55,754.50
2.23,25.33,718.54,556.75
2.72,10.67,240.74,173.94
-2.21,9.72,7.91,19.27
-5.79,13.25,-8.53,14.99
2.72,15.71,-10.41,19.70
5.06,21.43,1.45,139.36
9.61,24.42,54.77,530.50
218.96,14.92,76.87,582.24
10.88,9.43,-11.86,167.91
1.76,13.86,-7.81,18.48
11.16,22.28,-4.99,24.57
33.30,33.10,43.26,69.12
53.29,22.28,105.85,91.55
20.98,35.20,13.61,33.12
25.80,39.61,20.48,41.03
24.09,24.59,-0.39,33.76
38.67,40.30,29.75,57.82
18.19,22.33,-0.73,28.32
15.84,19.01,-4.39,32.25
14.25,12.71,-15.73,23.63
22.02,16.47,-9.73,44.49
14.97,13.37,-17.21,30.21
14.87,13.59,-15.85,41.57
21.83,12.68,-18.73,33.37
18.53,15.71,-9.33,33.37
14.72,12.70,-16.61,25.39
12.18,13.59,-15.85,37.64
13.83,16.96,-11.81,23.12
21.94,15.71,-11.81,34.69
18.53,11.16,7.83,11.82
18.53,11.78,-2.07,3.55
21.94,12.70,7.83,23.12
33.17,11.78,13.49,11.82
125.81,11.16,96.48,-74.88
140.87,-86.38,115.88,-59.00
113.72,-89.06,97.87,-98.11
107.76,-98.12,92.89,-102.54
105.69,-98.37,108.50,-98.75
113.72,-85.74,102.47,-74.88
107.76,-86.38,108.50,-74.88
49.39,-86.38,1302.20,84.04
97.51,-30.20,438.26,-70.22
82.85,7.52,624.53,-33.35
114.28,-92.10,317.22,-89.46
140.37,-116.27,121.68,-106.94
216.77,-122.20,154.01,73.37
166.84,-88.55,283.06,-33.35
115.69,-43.37,599.43,-33.35
162.84,-52.69,627.35,178.28
162.84,-88.55,288.23,72.36
166.84,-52.69,218.83,256.58
369.39,33.43,216.40,214.26
104.45,124.72,247.94,189.51
71.67,33.43,288.23,-11.66
168.37,168.01,417.57,-4.18
449.94,-53.80,111.29,-13.98
492.61,-59.06,169.51,83.75
212.09,258.51,518.53,-80.18
133.43,315.95,426.38,-104.41
212.09,178.28,261.34,86.25
449.94,343.09,164.78,-4.18
1658.98,355.95,100.30,437.28
1078.76,206.87,84.91,203.96
1096.16,339.43,75.85,-75.46
1583.55,339.43,20.04,-223.73
1674.89,343.09,-55.91,-213.55
1011.87,1435.34,-26.33,-162.52
489.50,402.36,260.28,366.36
571.06,-7.55,75.85,-75.46
656.89,-4.21,75.85,-75.46
568.31,-3.39,894.00,1347.82
306.94,-22.11,715.96,792.03
206.73,-2.63,674.52,423.82
256.70,29.99,819.41,505.51
674.86,-3.39,1041.54,717.58
568.31,-2.63,829.39,921.15
1487.61,15.84,819.41,877.19
1467.34,11.18,157.46,936.68
799.18,20.71,382.94,820.32
256.51,29.99,801.23,820.32
190.75,70.79,871.18,820.32
176.79,72.86,762.98,820.32
146.77,603.69,557.94,-104.92
107.80,315.07,213.70,-98.25
290.36,6.53,90.56,-92.05
190.75,497.39,13.26,-58.66
190.75,850.50,-63.96,-92.05
290.36,897.01,-103.30,-33.79
1415.70,513.61,-94.35,-51.16
388.75,56.18,137.44,-51.16
179.06,-17.55,13.26,-33.79
164.04,-21.07,13.26,-29.56
119.76,-56.08,639.67,348.46
94.09,-81.34,272.60,46.90
94.04,-89.39,128.22,-58.76
99.12,-93.09,80.87,-93.31
103.90,-97.53,80.79,-100.03
106.91,-100.84,85.02,-104.31
108.05,-102.15,87.87,-106.39
108.34,-102.33,89.59,-106.89
108.68,-102.48,91.83,-107.02
109.39,-102.97,92.73,-107.34
